Association_ID,Location,Association_Name,ChairPerson,Population
"1000","Nairobi","Tech Pioneers","John Doe","12"
"1010","Mombasa","Coastal Innovators","Alice Kamau","9"
"1020","Kisumu","Lakeview Thinkers","Brian Otieno","15"
"1030","Nakuru","Rift Valley Creators","David Njoroge","10"
"1040","Eldoret","Highland Leaders","Emily Kiptoo","7"
"1050","Thika","Industrial Minds","Samuel Mwangi","14"
"1060","Machakos","Eastern Developers","Grace Mutuku","8"
"1070","Kakamega","Western Pioneers","Esther Musonye","13"
"1080","Nyeri","Central Visionaries","James Waweru","11"
"1090","Meru","Mountain Coders","Cynthia Gitonga","6"
"1100","Embu","Green Innovators","Peter Njiru","9"
"1110","Kisii","Gusii Developers","Linet Moraa","15"
"1120","Malindi","Oceanic Creators","Francis Juma","12"
"1130","Kitale","Maize Belt Thinkers","Rebecca Simiyu","10"
"1140","Lodwar","Desert Innovators","Paul Ekal","7"
"1150","Garissa","North Eastern Coders","Abdi Hussein","13"
"1160","Kericho","Tea Estate Leaders","Christine Kipkorir","14"
"1170","Bungoma","Western Brains","Mark Wanyama","11"
"1180","Narok","Savanna Entrepreneurs","Jackson ole Senteu","15"
"1190","Voi","Tsavo Developers","Lilian Mwakio","8"
"1200","Marsabit","Northern Pioneers","Ahmed Ibrahim","12"
"1210","Isiolo","Arid Zone Coders","Fatuma Noor","9"
"1220","Mandera","Frontier Innovators","Hassan Abdullahi","10"
"1230","Wajir","Desert Creators","Amina Mohamed","6"
"1240","Lamu","Coastal Visionaries","Yusuf Omar","7"
"1250","Kilifi","Beachside Leaders","Zainab Ali","11"
"1260","Taita Taveta","Hillside Innovators","Elijah Ndovu","13"
"1270","Migori","Lake Region Thinkers","George Ouma","15"
"1280","Homa Bay","Sunset Developers","Joyce Achieng","14"
"1290","Bomet","South Rift Coders","Victor Langat","9"
"1300","Siaya","Smart Lake Minds","Janet Awino","8"
"1310","Turkana","Pastoral Entrepreneurs","Raphael Ebei","12"
"1320","Samburu","Nomadic Coders","Naomi Lengima","10"
"1330","Laikipia","Wildlife Innovators","Peter Kihara","7"
"1340","Tana River","Delta Creators","Benson Mungai","11"
"1350","West Pokot","Mountain Minds","Kevin Cheptoo","15"
"1360","Trans Nzoia","Grain Belt Innovators","Anne Wafula","14"
"1370","Nyandarua","Aberdare Thinkers","Sylvia Mwai","9"
"1380","Murang’a","Waterfall Coders","Stephen Kariuki","8"
"1390","Kiambu","Green City Developers","Nancy Wanjiru","10"
"1400","Kwale","Southern Coast Visionaries","Omar Salim","7"
"1410","Baringo","Rift Creators","Daniel Chesire","12"
"1420","Uasin Gishu","Highland Developers","Margaret Koskei","11"
"1430","Kajiado","Maasai Tech Leaders","Jonathan ole Kasaine","15"
"1440","Nyamira","Kisii Highlands Thinkers","Isaac Mogaka","14"
"1450","Kario","A001","Mr. Karas","12"
"1460","Kario","Abmigoty","Mr. Karas","12"
"1480","Kario","Abmigotys","Mr. Karas","12"
"1560","Kario","A0012","Mr. Karas","12"
"1580","Kario","A00124","Mr. Karas","12"
"1610","Kario","A001asas","Mr. Karas","12"
"1620","Kario","A001asass","Mr. Karas","12"
"1630","Kario","A001asassas","Mr. Karas","12"
"1640","Kario","A001asassaas","Mr. Karas","12"
"1650","Kario","A001asassaaas","Mr. Karas","12"
"1660","Kario","Aa001asassaaas","Mr. Karas","12"
"1670","Kenya","myassociaiton","Mr. Ndugnu","10"
"1700","KarioBongi","JFK SHOP","Jonathan Muiruri","12"
"1710","NYC KAMA KAWA","mafuta inachoma joh","doggie","10"
"1720","Kario","A001a1","Mr. Karas","12"
"1730","Kario","A001a1s","Mr. Karas","12"
"1740","Kario","A001A","Mr. Karas","12"
"1750","Home","Myassoc","donman","1"
"1770","Kario","A001sasa","Mr. Karas","12"
"1790","Kario","A001sasassa","Mr. Karas","12"
"1810","Kario","poasna","Mr. Karas","12"
"1820","Kario","BOOL","Mr. Karas","12"
"1830","Kario","ABC","Mr. Karas","12"
"1840","Kario","user1","Mr. Karas","12"
"1850","Kario","user2","Mr. Karas","12"
"1860","KenyaHome","Dosacles","Muigwa","9"
"2130","Kario","A001BS","Mr. Karas","12"
"2140","Kario","Alphago","Mr. Karas","12"
"2150","Location","Brian's associaiton","Brian Kamau","14"
"2170","Kario","A001GJK","Mr. Karas","12"
"2180","Kario","user5","Mr. Karas","12"
"2200","Kario","halfway","Mr. Karas","12"
"2210","Kario","A0019","Mr. Karas","12"
"2240","Kario","A0019234","Mr. Karas","12"
"2270","Kario","newassoc","Mr. Karas","12"
"2280","Kario","A001ASV","Mr. Karas","12"
